issue_id,title,project,issue_type,priority,status,assignee_id,story_points,sprint_id,created_date,reporter_id,resolved_date,time_estimate,time_spent
61,Data with grow region yet,DEV,Bug,Medium,Done,13,2,10,2025-04-08 14:06:59.085325,4,2025-04-10 14:06:59.085325,24.6,30.2
62,Black point take leg,OPS,Bug,Medium,Done,2,21,7,2025-04-08 14:05:03.424412,10,2025-04-10 14:05:03.424412,10.5,6.1
63,Cup identify sit like she do,WEB,Bug,Low,In Progress,13,3,6,2025-04-08 14:10:25.267822,9,,8.4,7.6
64,Town thousand true call,DEV,Task,Medium,In Progress,11,2,5,2025-04-08 14:07:30.851050,4,,34.8,11.0
65,Single discuss dinner agree tree,DEV,Bug,Medium,Done,8,3,5,2025-04-08 14:07:10.405735,6,2025-04-26 14:07:10.405735,29.3,18.3
66,Democrat challenge thank family health really,DEV,Task,Critical,Done,15,1,9,2025-04-08 14:08:52.636196,14,2025-04-11 14:08:52.636196,9.3,12.9
67,Later friend rate how of soon,DEV,Task,Medium,In Review,8,1,9,2025-04-08 14:10:29.857224,10,,25.0,21.2
68,Sometimes song at ball once reach,OPS,Bug,Low,Done,5,8,6,2025-04-08 14:06:27.109211,1,2025-04-11 14:06:27.109211,18.5,25.0
69,Available you else,DEV,Task,Medium,To Do,9,1,3,2025-04-08 14:08:03.032884,15,,7.2,0.0
70,I hospital group similar performance grow,WEB,Bug,High,Done,11,2,7,2025-04-08 14:07:09.752574,13,2025-04-26 14:07:09.752574,21.7,29.4
71,Involve main shake car drive camera,DEV,Task,Medium,In Progress,6,2,4,2025-04-08 14:06:02.409572,2,,12.0,17.0
72,Official sport ten Congress necessary practice,DATA,Task,High,Done,5,5,5,2025-04-08 14:07:05.689335,15,2025-04-14 14:07:05.689335,4.8,6.4
73,Bill four picture college from choice,MOBILE,Bug,Low,To Do,12,5,7,2025-04-08 14:06:27.898738,4,,19.2,0.0
74,Walk institution director now create,DATA,Task,Medium,Done,3,1,7,2025-04-08 14:07:04.871154,9,2025-04-09 14:07:04.871154,24.0,0.1
75,Story reach subject,DEV,Bug,Medium,Done,7,3,10,2025-04-08 14:04:46.468452,6,2025-04-23 14:04:46.468452,2.8,3.9
76,Rest soldier store walk party investment,OPS,Story,Medium,Done,14,2,8,2025-04-08 14:08:59.456906,6,2025-04-19 14:08:59.456906,16.7,3.4
77,Record discuss receive rest sometimes,OPS,Epic,Low,To Do,15,2,1,2025-04-08 14:10:20.585834,11,,11.0,0.0
78,Information series step politics product scene,MOBILE,Bug,Low,To Do,9,3,5,2025-04-08 14:08:41.564566,9,,2.2,0.0
79,Behind use assume tree discuss statement young,DEV,Task,Critical,Done,4,1,9,2025-04-08 14:05:59.398382,12,2025-04-18 14:05:59.398382,5.9,0.4
80,Also music agree figure suddenly generation,DEV,Bug,Low,Done,11,21,7,2025-04-08 14:09:10.554410,4,2025-04-12 14:09:10.554410,6.4,0.5
81,Memory here out spring safe,DEV,Bug,Low,To Do,7,3,2,2025-04-08 14:10:06.907603,3,,8.1,0.0
82,Hear give ask its learn,DEV,Bug,Medium,To Do,12,2,1,2025-04-08 14:04:44.802860,7,,32.3,0.0
83,As organization hope cause out,MOBILE,Story,Low,In Progress,3,3,8,2025-04-08 14:09:16.719493,12,,18.1,9.5
84,Result history nearly,WEB,Task,Medium,In Review,11,1,9,2025-04-08 14:07:01.031029,15,,6.7,6.2
85,Beat this court early support old,WEB,Epic,Medium,Done,2,3,10,2025-04-08 14:10:07.223679,7,2025-04-22 14:10:07.223679,4.9,3.0
86,Finish institution themselves support result,DEV,Task,High,Done,13,1,5,2025-04-08 14:10:04.153176,9,2025-04-10 14:10:04.153176,12.6,0.5
87,Beautiful day cup,DEV,Bug,Medium,Done,11,2,6,2025-04-08 14:07:29.261398,15,2025-04-21 14:07:29.261398,32.1,22.9
88,My investment serve business pick line,DEV,Story,Critical,In Progress,1,3,2,2025-04-08 14:05:49.311578,6,,15.2,10.1
89,Both no pressure language,WEB,Epic,Low,In Progress,6,5,5,2025-04-08 14:04:39.538321,2,,7.2,8.2
90,Rest executive ability stock,MOBILE,Story,Low,Done,5,1,4,2025-04-08 14:08:20.140824,6,2025-04-24 14:08:20.140824,16.8,7.0
91,Box culture yes set than,DEV,Story,Medium,Done,2,2,8,2025-04-08 14:07:53.476480,15,2025-04-20 14:07:53.476480,22.7,7.4
92,Race avoid always strong,MOBILE,Task,Medium,In Progress,13,2,8,2025-04-08 14:06:41.747565,8,,2.2,0.8
93,Month street go front reason,WEB,Bug,Medium,Done,13,2,5,2025-04-08 14:05:20.545655,6,2025-04-13 14:05:20.545655,25.5,11.6
94,Management travel without practice front none,OPS,Bug,Medium,Done,3,1,8,2025-04-08 14:08:24.205851,9,2025-04-27 14:08:24.205851,16.4,14.7
95,Design hair such run,DEV,Task,Medium,In Review,9,3,6,2025-04-08 14:06:25.899254,15,,1.4,1.0
96,But rate beat color new clearly,WEB,Epic,Medium,Done,3,1,10,2025-04-08 14:05:28.334852,4,2025-04-11 14:05:28.334852,27.3,13.8
97,Economy toward able step,DEV,Story,High,Done,7,8,6,2025-04-08 14:09:49.412267,3,2025-04-28 14:09:49.412267,28.8,16.2
98,Choice place thought,DEV,Story,High,In Progress,1,2,4,2025-04-08 14:08:10.831343,11,,25.5,14.2
99,Program laugh hospital drug,WEB,Bug,Medium,To Do,7,5,10,2025-04-08 14:09:34.292331,5,,14.3,0.0
100,Allow boy hour do around organization,MOBILE,Task,Medium,In Progress,9,1,3,2025-04-08 14:07:48.789141,3,,21.7,31.7
101,Here common network,DEV,Story,Low,Done,12,5,9,2025-04-08 14:10:34.416333,11,2025-04-10 14:10:34.416333,16.1,5.6
102,Maybe on sign day war,DEV,Task,Medium,To Do,11,1,5,2025-04-08 14:10:33.223645,12,,28.3,0.0
103,Subject oil term,MOBILE,Task,Critical,In Progress,8,5,10,2025-04-08 14:07:37.946310,2,,23.8,29.2
104,Capital must maybe great,DEV,Story,Medium,Done,7,2,10,2025-04-08 14:06:28.650038,2,2025-04-25 14:06:28.650038,4.2,4.5
105,Security probably agent lawyer bag,WEB,Task,Medium,In Progress,10,2,4,2025-04-08 14:05:59.714001,4,,26.1,0.2
106,Eat push would could everything wind,OPS,Epic,Medium,To Do,14,1,6,2025-04-08 14:06:19.189587,3,,27.8,0.0
107,Support hear become,WEB,Task,Medium,In Progress,8,1,4,2025-04-08 14:06:03.784859,9,,15.5,23.1
108,Particularly pass place our ask relate,MOBILE,Bug,Medium,In Review,13,3,6,2025-04-08 14:05:46.678365,14,,35.2,39.9
109,Today speak billion song list,MOBILE,Task,Medium,In Progress,4,3,10,2025-04-08 14:07:45.351563,7,,33.9,34.7
110,Side individual security allow,OPS,Bug,Critical,To Do,15,3,8,2025-04-08 14:08:00.518629,6,,7.8,0.0
111,Close act box not feeling,MOBILE,Task,Medium,In Progress,2,1,8,2025-04-08 14:09:06.474806,10,,36.3,22.1
112,There hospital treatment part,DEV,Bug,High,Done,14,1,6,2025-04-08 14:08:43.709685,12,2025-04-19 14:08:43.709685,18.2,15.2
113,Give crime game PM national maybe,DEV,Epic,Critical,In Progress,14,5,1,2025-04-08 14:07:05.573930,8,,29.2,11.1
114,Send level everybody buy discussion,DATA,Story,High,Done,11,5,1,2025-04-08 14:08:27.065900,9,2025-04-09 14:08:27.065900,32.7,1.7
115,Product some fine newspaper cover,DEV,Bug,High,Done,9,2,3,2025-04-08 14:10:34.271196,3,2025-04-27 14:10:34.271196,20.7,26.0
116,Must draw product teacher,WEB,Bug,Low,To Do,15,3,2,2025-04-08 14:08:03.057900,12,,16.6,0.0
117,Hard summer and buy car list,OPS,Task,High,In Progress,3,5,1,2025-04-08 14:07:54.134146,10,,36.7,49.4
118,Likely risk born,WEB,Story,High,Done,14,5,1,2025-04-08 14:08:58.886571,7,2025-04-16 14:08:58.886571,10.0,2.4
119,Water goal economic mention just financial,DEV,Bug,Low,In Progress,11,1,6,2025-04-08 14:10:05.313012,9,,11.0,13.0
120,Citizen all size act some,DEV,Bug,Medium,Done,4,5,7,2025-04-08 14:05:52.413077,1,2025-04-19 14:05:52.413077,15.1,16.8
121,Because wonder school economy effort,DEV,Task,Medium,To Do,7,2,8,2025-04-08 14:09:20.075984,10,,34.5,0.0
122,Gas through challenge,DEV,Task,Medium,Done,2,3,3,2025-04-08 14:10:17.087657,9,2025-04-16 14:10:17.087657,37.6,10.1
123,Onto couple film role,DATA,Bug,Medium,In Progress,14,2,1,2025-04-08 14:07:34.293038,14,,9.6,6.1
124,Like throw beyond friend pressure,MOBILE,Story,Medium,In Progress,15,3,5,2025-04-08 14:05:46.007665,7,,34.7,22.0
125,Foreign recognize computer charge,MOBILE,Epic,High,In Progress,8,3,8,2025-04-08 14:04:47.052204,10,,11.1,12.7
126,Believe adult food program keep material,WEB,Bug,Low,Done,12,2,4,2025-04-08 14:06:22.260578,14,2025-04-25 14:06:22.260578,38.9,48.9
127,When crime idea finish,DEV,Task,High,In Progress,10,2,2,2025-04-08 14:05:19.717132,4,,24.3,3.5
128,Picture beat want son,DEV,Bug,High,To Do,8,3,9,2025-04-08 14:09:36.777783,13,,1.3,0.0
129,Environmental specific authority maybe example range,DEV,Bug,Medium,To Do,12,2,9,2025-04-08 14:08:25.676203,15,,2.3,0.0
130,Fear step sort,WEB,Bug,Medium,To Do,5,1,3,2025-04-08 14:06:09.743881,11,,6.8,0.0
131,Ahead cost anyone range deal,WEB,Task,Medium,To Do,9,1,7,2025-04-08 14:04:50.308854,12,,8.3,0.0
132,Form company data about take economic,WEB,Story,Low,Done,8,3,1,2025-04-08 14:05:22.697416,6,2025-04-28 14:05:22.697416,30.9,26.1
133,Return baby own race fire,WEB,Task,Low,Done,1,5,8,2025-04-08 14:06:26.362268,11,2025-04-14 14:06:26.362268,9.7,11.1
134,Collection management people career,DATA,Bug,Medium,To Do,9,5,8,2025-04-08 14:06:21.800488,11,,38.8,0.0
135,Music authority benefit seat fast later,DEV,Bug,High,To Do,13,2,3,2025-04-08 14:07:49.359003,6,,25.8,0.0
136,Walk city foot ground,MOBILE,Task,Low,In Progress,14,2,5,2025-04-08 14:04:42.538289,6,,28.0,33.0
137,Design seven really,DEV,Bug,Medium,In Progress,14,1,4,2025-04-08 14:10:11.488335,15,,9.5,2.1
138,Management among north,WEB,Task,High,Done,5,21,7,2025-04-08 14:10:27.776728,2,2025-04-15 14:10:27.776728,35.8,28.2
139,Want year range,DEV,Task,Medium,Done,9,1,7,2025-04-08 14:05:56.541363,5,2025-04-21 14:05:56.541363,27.0,34.7
140,Strategy under middle weight successful environment,WEB,Epic,Medium,In Progress,9,2,8,2025-04-08 14:09:11.707079,7,,34.7,16.6
141,Sit role hospital third,DEV,Bug,Critical,In Review,10,3,5,2025-04-08 14:07:00.550754,6,,38.3,24.4
142,Seek class rate poor,DEV,Task,Medium,In Progress,10,5,5,2025-04-08 14:09:42.810060,3,,5.9,7.1
143,Security course sport,OPS,Bug,Low,Done,3,1,8,2025-04-08 14:07:14.092449,11,2025-04-15 14:07:14.092449,4.8,0.6
144,Though matter sea task,DEV,Task,High,Done,8,2,5,2025-04-08 14:10:27.185388,12,2025-04-19 14:10:27.185388,32.3,41.6
145,Each myself though nation scientist special,DEV,Task,Medium,Done,7,3,1,2025-04-08 14:05:02.440618,5,2025-04-18 14:05:02.440618,34.8,16.2
146,Those fish car,WEB,Story,Medium,In Progress,15,3,3,2025-04-08 14:07:17.505545,13,,23.8,0.1
147,Relate dream challenge heart adult message,WEB,Task,Medium,In Review,7,1,2,2025-04-08 14:05:13.815684,8,,15.3,5.4
148,Anyone five woman,MOBILE,Task,High,To Do,12,3,10,2025-04-08 14:09:33.348320,11,,26.5,0.0
149,Song garden month give year rather,WEB,Bug,Medium,To Do,10,2,5,2025-04-08 14:08:17.146886,5,,12.9,0.0
150,Girl sea throughout kind carry half,DEV,Bug,Medium,In Progress,2,5,8,2025-04-08 14:06:31.831825,12,,10.3,1.4
151,Life word too political,DEV,Task,Low,In Progress,2,1,9,2025-04-08 14:05:31.397378,10,,20.0,2.8
152,Call history international dinner,MOBILE,Story,Low,In Review,2,1,9,2025-04-08 14:08:57.447267,3,,9.4,9.8
153,Rich it ground local,DEV,Task,Low,In Progress,13,5,1,2025-04-08 14:08:21.294359,9,,19.9,6.4
154,Contain place as law commercial training south,OPS,Story,High,In Review,11,3,1,2025-04-08 14:05:07.873277,11,,38.3,53.7
155,Name move half natural job,DEV,Bug,Critical,To Do,2,5,1,2025-04-08 14:08:57.406707,3,,33.8,0.0
156,Past contain peace,MOBILE,Task,Medium,Done,14,5,1,2025-04-08 14:06:14.205512,2,2025-04-16 14:06:14.205512,37.7,29.2
157,Artist arm from,DATA,Task,Medium,In Progress,4,1,9,2025-04-08 14:10:15.555874,6,,32.4,22.4
158,Everyone can sometimes seat,MOBILE,Bug,Low,Done,7,1,1,2025-04-08 14:08:58.957857,8,2025-04-18 14:08:58.957857,14.8,9.6
159,Thought difficult conference how strategy,WEB,Task,Medium,Done,2,1,7,2025-04-08 14:06:48.463745,6,2025-04-19 14:06:48.463745,32.7,34.0
160,Become stay glass,WEB,Story,Medium,Done,5,8,6,2025-04-08 14:05:30.734041,1,2025-04-28 14:05:30.734041,37.0,25.1
161,Quickly behind stage,WEB,Task,Critical,To Do,14,2,9,2025-04-08 14:08:10.035708,8,,37.9,0.0
162,Likely bill compare already,WEB,Task,Low,To Do,7,1,9,2025-04-08 14:09:00.596814,1,,27.6,0.0
163,Crime time reflect current,DEV,Story,High,Done,9,1,4,2025-04-08 14:06:09.429234,9,2025-04-25 14:06:09.429234,9.2,1.8
164,Agency hear rate concern,MOBILE,Task,Critical,Done,8,5,9,2025-04-08 14:07:22.869001,8,2025-04-19 14:07:22.869001,2.5,3.3
165,Visit old could performance change method,DEV,Story,Low,In Progress,9,5,6,2025-04-08 14:07:30.307505,6,,6.7,4.3
166,Central church investment standard,DEV,Task,Medium,In Progress,7,8,5,2025-04-08 14:05:53.361702,15,,38.7,4.3
167,Dream control think,MOBILE,Bug,High,In Progress,3,2,9,2025-04-08 14:09:30.752347,2,,19.0,15.1
168,Beautiful beautiful international section upon,DEV,Bug,Medium,In Progress,1,3,7,2025-04-08 14:08:55.597202,13,,34.3,33.3
169,Hold least third ask sing,MOBILE,Bug,Critical,In Progress,10,1,9,2025-04-08 14:08:53.040284,9,,19.1,7.9
170,Whether organization resource painting happen mother,OPS,Story,Medium,Done,7,1,5,2025-04-08 14:10:34.473942,8,2025-04-24 14:10:34.473942,26.8,32.2
171,Information leave it,DATA,Story,High,In Progress,13,1,4,2025-04-08 14:06:17.243876,13,,1.9,1.9
172,Sometimes maintain real example hotel,MOBILE,Bug,Low,Done,11,1,10,2025-04-08 14:10:32.147645,4,2025-04-13 14:10:32.147645,10.7,10.4
173,Candidate east manage answer hold,WEB,Bug,Medium,Done,6,3,3,2025-04-08 14:05:06.717323,2,2025-04-18 14:05:06.717323,18.0,11.4
174,Term traditional fund science fund,DEV,Task,Medium,Done,2,8,5,2025-04-08 14:09:00.270943,13,2025-04-28 14:09:00.270943,25.6,36.9
175,Billion guy hair win various,WEB,Task,Critical,In Progress,1,1,9,2025-04-08 14:09:40.742533,14,,7.7,3.2
176,Among article movement parent,DEV,Task,High,To Do,12,8,3,2025-04-08 14:07:50.659694,15,,30.8,0.0
177,Law indicate weight better must,DEV,Task,Medium,To Do,10,2,1,2025-04-08 14:08:30.366982,6,,15.2,0.0
178,Suffer discussion way,MOBILE,Story,Medium,In Progress,4,2,2,2025-04-08 14:05:31.233287,1,,32.9,28.5
179,Anyone coach national fact,DEV,Task,High,In Progress,14,2,10,2025-04-08 14:09:13.051037,7,,4.8,2.2
180,Form nice me million significant,DEV,Epic,Medium,Done,4,2,5,2025-04-08 14:07:06.336636,1,2025-04-13 14:07:06.336636,27.5,30.7
181,Democrat career environmental,MOBILE,Bug,Low,Done,6,1,3,2025-04-08 14:10:10.320290,15,2025-04-28 14:10:10.320290,12.4,0.9
182,When various value someone,DEV,Epic,Medium,To Do,11,3,6,2025-04-08 14:06:20.916288,13,,32.0,0.0
183,Everybody girl pick commercial raise,DEV,Bug,High,Done,5,5,8,2025-04-08 14:07:15.809777,6,2025-04-17 14:07:15.809777,16.7,1.1
184,Chair son turn,DEV,Bug,Medium,In Progress,9,5,6,2025-04-08 14:09:33.661270,5,,26.9,32.7
185,Usually break buy best real already,MOBILE,Story,Medium,Done,8,2,10,2025-04-08 14:06:35.899527,12,2025-04-11 14:06:35.899527,37.4,24.4
186,Cause decade American southern whole,MOBILE,Story,Critical,In Review,9,5,9,2025-04-08 14:09:40.088971,10,,1.8,0.9
187,Discover certainly Mr peace hand,MOBILE,Story,Medium,In Review,10,3,6,2025-04-08 14:09:49.867731,14,,1.4,1.3
188,People moment movie,DEV,Task,Medium,Done,7,13,5,2025-04-08 14:07:44.105015,3,2025-04-11 14:07:44.105015,31.0,32.6
189,Adult very community conference imagine,MOBILE,Epic,Low,To Do,9,2,4,2025-04-08 14:09:20.567135,6,,26.2,0.0
190,Oil big visit sometimes that,WEB,Bug,Medium,Done,3,21,2,2025-04-08 14:09:19.681037,4,2025-04-18 14:09:19.681037,12.4,3.7
191,Pm management international notice wear really,DEV,Bug,High,In Progress,9,3,6,2025-04-08 14:08:32.191264,14,,20.3,5.6
192,Yes something thought,WEB,Task,Medium,Done,2,5,2,2025-04-08 14:09:29.941372,12,2025-04-15 14:09:29.941372,2.6,3.7
193,Mission stage role policy,WEB,Story,High,Done,9,1,5,2025-04-08 14:08:45.436592,6,2025-04-10 14:08:45.436592,8.5,7.5
194,Thank management former listen,WEB,Task,High,Done,13,2,1,2025-04-08 14:08:25.041831,4,2025-04-16 14:08:25.041831,17.6,10.3
195,Real admit night,MOBILE,Task,Medium,In Review,6,2,3,2025-04-08 14:07:13.336929,15,,33.5,40.3
196,Factor debate almost cause out,DEV,Bug,Low,To Do,4,1,10,2025-04-08 14:10:04.035995,1,,19.7,0.0
197,Well stock pressure memory,WEB,Bug,Low,Done,12,2,5,2025-04-08 14:08:15.445676,5,2025-04-20 14:08:15.445676,23.9,18.8
198,View war keep me,WEB,Task,High,In Progress,14,13,7,2025-04-08 14:05:50.408161,8,,35.1,12.7
199,Course let material listen,WEB,Task,Medium,Done,12,2,8,2025-04-08 14:06:39.518340,6,2025-04-17 14:06:39.518340,13.0,4.0
200,We production election radio add heart,WEB,Task,High,Done,13,1,7,2025-04-08 14:05:24.993508,10,2025-04-19 14:05:24.993508,28.3,16.8
201,Too agreement put,OPS,Task,High,To Do,11,2,7,2025-04-08 14:06:04.145626,9,,34.6,0.0
202,Structure two song sometimes trip,OPS,Epic,Low,Done,2,1,2,2025-04-08 14:07:48.013229,4,2025-04-27 14:07:48.013229,8.9,11.5
203,Development change happy sort meeting,MOBILE,Bug,Low,In Progress,13,2,6,2025-04-08 14:10:03.827327,10,,14.9,1.4
204,Per home picture decade president,MOBILE,Task,High,In Progress,10,3,5,2025-04-08 14:09:37.608499,9,,39.2,12.8
205,Drop several thousand difficult middle,DEV,Task,Critical,Done,3,2,9,2025-04-08 14:09:38.242140,8,2025-04-28 14:09:38.242140,39.3,52.7
206,Reveal participant evidence,MOBILE,Task,High,In Progress,5,5,10,2025-04-08 14:10:23.533538,3,,9.7,1.8
207,Talk several test likely,WEB,Task,Medium,In Review,9,1,4,2025-04-08 14:09:27.778172,14,,3.6,3.4
208,Government financial indeed opportunity PM should,DEV,Epic,Low,To Do,7,5,7,2025-04-08 14:05:49.179888,6,,11.6,0.0
209,Put accept pick,DEV,Task,High,Done,11,13,8,2025-04-08 14:06:29.741703,4,2025-04-25 14:06:29.741703,16.5,5.3
210,Behind offer win food various month,DEV,Bug,Medium,To Do,12,1,6,2025-04-08 14:10:18.400007,1,,18.2,0.0
211,They both organization care Congress with,DEV,Bug,High,In Review,13,5,3,2025-04-08 14:07:56.385141,9,,25.1,22.8
